Name,Year of release,Original Network,Number of Episodes,Duration,Content Rating,Rating,Genre,Cast,Rank
Move to Heaven,2021,Netflix,10,52 min.,18+ Restricted (violence & profanity),9.2,life  drama  family,"Lee Je Hoon, Tang Jun Sang, Hong Seung Hee, Jung Suk Yong, Jung Young Joo, Lee Moon Shik",#1
Flower of Evil,2020,tvN,16,1 hr. 10 min.,15+ - Teens 15 or older,9.1,thriller  romance  crime  melodrama,"Lee Joon Gi, Moon Chae Won, Jang Hee Jin, Seo Hyun Woo, Nam Ki Ae, Son Jong Hak",#2
Hospital Playlist,2020,"Netflix,  tvN ",12,1 hr. 30 min.,15+ - Teens 15 or older,9.1,friendship  romance  life  medical,"Jo Jung Suk, Yoo Yeon Seok, Jung Kyung Ho, Kim Dae Myung, Jeon Mi Do, Shin Hyun Bin",#3
Hospital Playlist 2,2021,"Netflix,  tvN ",12,1 hr. 40 min.,15+ - Teens 15 or older,9.1,friendship  romance  life  medical,"Jo Jung Suk, Yoo Yeon Seok, Jung Kyung Ho, Kim Dae Myung, Jeon Mi Do, Shin Hyun Bin",#4
My Mister,2018,tvN,16,1 hr. 17 min.,15+ - Teens 15 or older,9.1,psychological  life  drama  family,"Lee Sun Kyun, IU, Park Ho San, Song Sae Byuk, Lee Ji Ah, Kim Young Min",#5
Reply 1988,2015,tvN,20,1 hr. 40 min.,15+ - Teens 15 or older,9.1,comedy  romance  youth  family,"Lee Hye Ri, Go Kyung Pyo, Ryu Joon Yeol, Park Bo Gum, Lee Dong Hwi, Sung Dong Il",#6
Weak Hero Class 1,2022,Wavve,8,40 min.,18+ Restricted (violence & profanity),9.1,action  youth  drama,"Park Ji Hoon, Choi Hyun Wook, Hong Kyung, Kim Su Gyeom, Lee Yeon, Shin Seung Ho",#7
Prison Playbook,2017,"Netflix,  tvN ",16,1 hr. 32 min.,15+ - Teens 15 or older,9.1,comedy  crime  life  drama,"Park Hae Soo, Jung Kyung Ho, Krystal Jung, Im Hwa Young, Ye Soo Jung, Kim Kyung Nam",#8
Alchemy of Souls,2022,"Netflix, tvN",20,1 hr. 20 min.,15+ - Teens 15 or older,9.0,action  historical  romance  fantasy,"Lee Jae Wook, Jung So Min, Hwang Hyun Min, Shin Seung Ho, Yoo Joon Sang, Oh Na Ra",#9
Extraordinary Attorney Woo,2022,"ENA, Netflix",16,1 hr. 17 min.,15+ - Teens 15 or older,9.0,law  romance  life  drama,"Park Eun Bin, Kang Tae Oh, Kang Ki Young, Jeon Bae Soo, Baek Ji Won, Jin Kyung",#10
Mr. Queen,2020,tvN,20,1 hr. 20 min.,15+ - Teens 15 or older,9.0,historical  mystery  comedy  romance,"Shin Hye Sun, Kim Jung Hyun, Bae Jong Ok, Kim Tae Woo, Jo Yun Hee, Seol In Ah",#11
Mother,2018,tvN,16,1 hr. 3 min.,15+ - Teens 15 or older,9.0,thriller  mystery  psychological  melodrama,"Lee Bo Young, Heo Yool, Lee Hye Young, Go Sung Hee, Lee Jae Yoon, Go Bo Gyeol",#12
It's Okay to Not Be Okay,2020,"Netflix,  tvN ",16,1 hr. 15 min.,15+ - Teens 15 or older,9.0,psychological  comedy  romance  drama,"Kim Soo Hyun, Seo Yea Ji, Oh Jung Se, Park Gyu Young, Jang Young Nam, Kim Chang Wan",#13
Crash Landing on You,2019,"Netflix,  tvN ",16,1 hr. 25 min.,15+ - Teens 15 or older,9.0,military  comedy  romance  political,"Hyun Bin, Son Ye Jin, Seo Ji Hye, Kim Jung Hyun, Yang Kyung Won, Lee Shin Young",#14
